label,prompt
engine accelerating,The sound of a powerful engine revving up quickly
playing trumpet,The bright and brassy sound of a trumpet being played
race car,The roar of a high-speed race car engine
orchestra,The harmonious blend of various instruments playing together
lighting firecrackers,The loud crackling and popping sounds of firecrackers exploding
playing violin,The sweet and melodious sound of a violin being played
playing erhu,The hauntingly beautiful sound of an erhu being played
playing bass guitar,The deep and rhythmic sound of a bass guitar being played
playing snare drum,The crisp and sharp sound of a snare drum being played
cat purring,The soft and soothing sound of a cat purring contentedly
playing harp,The angelic and ethereal sound of a harp being played
people sniggering,The muffled and mocking sound of people snickering
child singing,The innocent and pure sound of a child singing
goose honking,The loud and honking sound of a goose
ice cream truck,The cheerful and jingling sound of an ice cream truck
playing bagpipes,The haunting and mournful sound of bagpipes being played
electric shaver,The buzzing and whirring sound of an electric shaver
people booing,The disapproving and jeering sound of people booing
driving buses,The rumbling and engine sounds of a bus in motion
train horning,The loud and warning sound of a train horn
police car (siren),The urgent and piercing sound of a police car siren
wind noise,The rushing and howling sound of wind
playing clarinet,The smooth and mellow sound of a clarinet being played
people burping,The rude and unpleasant sound of people burping
vehicle horn,The loud and attention-grabbing sound of a vehicle horn
playing cymbal,The metallic and crashing sound of a cymbal being played
singing bowl,The resonant and calming sound of a singing bowl
playing badminton,The sound of a shuttlecock being hit back and forth
stream burbling,The gentle and babbling sound of a stream
cap gun shooting,The sharp and popping sound of a cap gun being fired
male singing,The deep and rich sound of a male voice singing
vacuum cleaner cleaning floors,The whirring and sucking sound of a vacuum cleaner
rope skipping,The rhythmic and hopping sound of a rope being skipped
arc welding,The crackling and hissing sound of an arc welder
scuba diving,The bubbling and underwater sound of scuba diving
playing bassoon,The deep and reedy sound of a bassoon being played
people clapping,The rhythmic and applauding sound of people clapping
playing harpsichord,The delicate and tinkling sound of a harpsichord being played
beat boxing,The percussive and vocal sound of beatboxing
playing double bass,The resonant and booming sound of a double bass being played
railroad car,The rumbling and clacking sound of a railroad car
playing cello,The warm and rich sound of a cello being played
basketball bounce,The rhythmic and bouncing sound of a basketball
playing tabla,The intricate and rhythmic sound of tabla drums being played
civil defense siren,The loud and warning sound of a civil defense siren
pheasant crowing,The sharp and crowing sound of a pheasant
playing accordion,The lively and energetic sound of an accordion being played
gibbon howling,The eerie and haunting sound of a gibbon howling
playing drum kit,The energetic and rhythmic sound of a drum kit being played
people marching,The steady and synchronized sound of people marching
rowboat,The splashing and rhythmic sound of a rowboat
tractor digging,The rumbling and digging sound of a tractor
dog barking,The loud and barking sound of a dog
toilet flushing,The rushing and flushing sound of a toilet
cricket chirping,The rhythmic and chirping sound of crickets
playing french horn,The majestic and brass sound of a French horn being played
playing acoustic guitar,The warm and natural sound of an acoustic guitar being played
playing banjo,The twangy and folksy sound of a banjo being played
playing volleyball,The thumping and hitting sound of a volleyball being played
car engine knocking,The irregular and knocking sound of a car engine
female singing,The clear and soaring sound of a female voice singing
playing mandolin,The bright and plucky sound of a mandolin being played
bird chirping,The cheerful and chirping sound of a bird
dog howling,The mournful and howling sound of a dog
playing squash,The thumping and hitting sound of a squash ball
mynah bird singing,The chatty and singing sound of a mynah bird
machine gun shooting,The rapid and staccato sound of a machine gun firing
airplane flyby,The roaring and passing sound of an airplane
child speech,The innocent and childish sound of a child speaking
missile launch,The explosive and launching sound of a missile
fireworks banging,The explosive and crackling sound of fireworks
ambulance siren,The urgent and piercing sound of an ambulance siren
playing marimba,The ringing and percussive sound of a marimba being played
fire truck siren,The urgent and piercing sound of a fire truck siren
playing cornet,The bright and brassy sound of a cornet being played
pigeon,The cooing and fluttering sound of a pigeon
skateboarding,The rolling and scraping sound of a skateboard
chainsawing trees,The loud and grinding sound of a chainsaw cutting trees
people screaming,The panicked and screaming sound of people
